Date;Visitors
2022-01-01;0
2022-01-02;0
2022-01-03;4988
2022-01-04;4552
2022-01-05;4346
2022-01-06;0
2022-01-07;3548
2022-01-08;3846
2022-01-09;0
2022-01-10;3030
2022-01-11;2964
2022-01-12;2756
2022-01-13;2986
2022-01-14;3578
2022-01-15;4671
2022-01-16;2566
2022-01-17;3017
2022-01-18;2991
2022-01-19;2986
2022-01-20;3141
2022-01-21;3442
2022-01-22;3651
2022-01-23;0
2022-01-24;614
2022-01-25;0
2022-01-26;0
2022-01-27;1965
2022-01-28;3775
2022-01-29;3679
2022-01-30;0
2022-01-31;3149
2022-02-01;2885
2022-02-02;2283
2022-02-03;2983
2022-02-04;3855
2022-02-05;4788
2022-02-06;0
2022-02-07;3071
2022-02-08;2377
2022-02-09;3205
2022-02-10;3331
2022-02-11;4052
2022-02-12;4928
2022-02-13;0
2022-02-14;4521
2022-02-15;3047
2022-02-16;2658
2022-02-17;2883
2022-02-18;2440
2022-02-19;4746
2022-02-20;0
2022-02-21;2701
2022-02-22;2480
2022-02-23;2349
2022-02-24;2241
2022-02-25;3168
2022-02-26;3924
2022-02-27;0
2022-02-28;2632
2022-03-01;3339
2022-03-02;2891
2022-03-03;2706
2022-03-04;3315
2022-03-05;3652
2022-03-06;0
2022-03-07;0
2022-03-08;2766
2022-03-09;2566
2022-03-10;2106
2022-03-11;3348
2022-03-12;4359
2022-03-13;0
2022-03-14;2922
2022-03-15;2966
2022-03-16;3058
2022-03-17;2957
2022-03-18;3436
2022-03-19;4763
2022-03-20;0
2022-03-21;2566
2022-03-22;2702
2022-03-23;2348
2022-03-24;3803
2022-03-25;0
2022-03-26;4527
2022-03-27;0
2022-03-28;2751
2022-03-29;2834
2022-03-30;2532
2022-03-31;2890
2022-04-01;3245
2022-04-02;3942
2022-04-03;261
2022-04-04;3223
2022-04-05;3083
2022-04-06;1388
2022-04-07;3254
2022-04-08;4066
2022-04-09;4995
2022-04-10;0
2022-04-11;3457
2022-04-12;3716
2022-04-13;3380
2022-04-14;3904
2022-04-15;4689
2022-04-16;4932
2022-04-17;2374
2022-04-18;4026
2022-04-19;4139
2022-04-20;4575
2022-04-21;4713
2022-04-22;2247
2022-04-23;2299
2022-04-24;0
2022-04-25;0
2022-04-26;3226
2022-04-27;2934
2022-04-28;3264
2022-04-29;3555
2022-04-30;3818
2022-05-01;0
2022-05-02;0
2022-05-03;4202
2022-05-04;4024
2022-05-05;3607
